k,inertia,silhouette
2,429.6296081542969,0.9438796
3,181.17276000976562,0.94101125
4,75.46815490722656,0.93709445
5,43.68272018432617,0.8334808
6,33.71939468383789,0.82115555
7,29.919471740722656,0.8078467
8,23.438087463378906,0.2293581
9,20.1687068939209,0.21558875
10,17.06690788269043,0.21037109
11,15.832315444946289,0.23326956
12,14.204330444335938,0.2098319
13,12.984272003173828,0.1830319
14,12.108400344848633,0.21317789
15,11.489620208740234,0.19792953
16,10.81082820892334,0.17657119
17,10.028176307678223,0.16889109
18,9.734125137329102,0.16321735
19,9.15958309173584,0.14439613
20,8.698751449584961,0.1521262
21,8.391070365905762,0.15085179
22,8.100872993469238,0.14438555
23,7.811957359313965,0.14561339
