k,inertia,silhouette
2,12.839191436767578,0.92673296
3,9.904350280761719,0.65994316
4,7.431972503662109,0.47467688
5,6.104894638061523,0.36192676
6,5.209731578826904,0.23777328
7,4.536243438720703,0.28463832
8,4.0233564376831055,0.22332238
9,3.6645593643188477,0.21688889
10,3.2267584800720215,0.22419901
11,2.9503564834594727,0.17548384
12,2.594625949859619,0.20707844
13,2.3974647521972656,0.19953728
14,2.0801126956939697,0.20553568
15,1.9667531251907349,0.1792438
16,1.6599982976913452,0.22471054
17,1.5709788799285889,0.20007087
18,1.3529908657073975,0.22285917
19,1.222211241722107,0.21753648
20,1.081996202468872,0.21611148
21,0.9264786243438721,0.21938115
22,0.8181203603744507,0.20797683
23,0.7271838784217834,0.20997177
