k,inertia,silhouette
2,3.5643558502197266,0.87304026
3,0.9684375524520874,0.7987471
4,0.6139015555381775,0.26779255
5,0.500449538230896,0.15502818
6,0.38154202699661255,0.1771059
7,0.30372756719589233,0.17525451
8,0.25287652015686035,0.17926854
9,0.18880608677864075,0.19533607
10,0.13376349210739136,0.20152526
11,0.09590141475200653,0.1929421
12,0.07507719844579697,0.1684457
13,0.058499135076999664,0.12504247
14,0.04213571548461914,0.07852863
15,0.027461132034659386,0.051126096
16,0.013174271211028099,0.0034837609
