k,inertia,silhouette
2,267.79583740234375,0.658105
3,96.86011505126953,0.6488327
4,74.88506317138672,0.5517643
5,56.072166442871094,0.43154663
6,41.622703552246094,0.45217916
7,33.13645935058594,0.41582942
8,29.32788848876953,0.37886947
9,24.509048461914062,0.40028188
10,21.124486923217773,0.35976863
11,19.041818618774414,0.33484775
12,17.61042594909668,0.31906995
13,16.072071075439453,0.30171955
14,14.179752349853516,0.30769765
15,13.562300682067871,0.29350215
16,12.044534683227539,0.29224318
17,11.148172378540039,0.26979077
18,10.191462516784668,0.27739128
19,9.395980834960938,0.2532334
20,8.177950859069824,0.24995738
21,7.015361785888672,0.27382517
22,6.663550853729248,0.23309697
23,5.723953723907471,0.22179033
