k,inertia,silhouette
2,249.76242065429688,0.8068704
3,156.48968505859375,0.45436305
4,128.3646697998047,0.4137104
5,113.62230682373047,0.3807794
6,100.46419525146484,0.36694595
7,92.47319793701172,0.37428877
8,85.88656616210938,0.37568057
9,78.04048919677734,0.38471583
10,71.34234619140625,0.3831811
11,66.2928466796875,0.38174185
12,63.51871109008789,0.3693019
13,59.83302688598633,0.39106196
14,55.70188903808594,0.39054555
15,53.67512512207031,0.34838098
16,50.19498825073242,0.33898836
17,48.287841796875,0.33738026
18,46.64195251464844,0.33236325
19,44.80858612060547,0.3412177
20,43.41239929199219,0.25479677
21,41.97257995605469,0.338981
22,41.01191711425781,0.3431967
23,39.54755401611328,0.3482127
