k,inertia,silhouette
2,585.8906860351562,0.6383517
3,411.8331298828125,0.5126273
4,324.8359375,0.48594105
5,276.1440734863281,0.4230313
6,239.24856567382812,0.4443487
7,207.01925659179688,0.44769934
8,189.4160614013672,0.4116903
9,178.51327514648438,0.4200122
10,161.02566528320312,0.40944546
11,149.0564422607422,0.41612202
12,138.21157836914062,0.3140261
13,130.02259826660156,0.3167457
14,121.3432846069336,0.32317004
15,117.29447174072266,0.26776338
16,107.32780456542969,0.25545746
17,101.33126068115234,0.2531628
18,96.79023742675781,0.25530112
19,90.4053955078125,0.26599193
20,88.10043334960938,0.25360265
21,82.3929672241211,0.25326648
22,81.1993637084961,0.23386435
23,76.9661865234375,0.23654094
