k,inertia,silhouette
2,227.06796264648438,0.85325253
3,160.6722869873047,0.4277628
4,129.35595703125,0.44236726
5,108.49549865722656,0.35301676
6,93.89627838134766,0.33397937
7,83.72113037109375,0.27868304
8,78.44983673095703,0.27675143
9,73.43643188476562,0.27766624
10,71.0254898071289,0.15610006
11,66.84477996826172,0.20129167
12,61.90118408203125,0.17899072
13,59.8067741394043,0.17449465
14,56.53002166748047,0.18792462
15,53.97340393066406,0.18240218
16,52.35033416748047,0.17883317
17,49.054969787597656,0.18810487
18,48.114013671875,0.1821404
19,45.281272888183594,0.18718734
20,44.82026672363281,0.16637918
21,43.019554138183594,0.17278944
22,41.156593322753906,0.17826974
23,39.930023193359375,0.17450057
