k,inertia,silhouette
2,112.52118682861328,0.35644948
3,86.21908569335938,0.3853799
4,73.07967376708984,0.3283532
5,63.6074104309082,0.2235149
6,56.31564712524414,0.24130297
7,50.2875862121582,0.2491944
8,46.39402389526367,0.23747478
9,44.11335372924805,0.20484796
10,41.94347381591797,0.20747115
11,38.75287628173828,0.21755281
12,37.156097412109375,0.19149657
13,34.203269958496094,0.20825312
14,32.78648376464844,0.18628007
15,30.77408790588379,0.2002501
16,30.394960403442383,0.18837355
17,28.270071029663086,0.2068251
18,27.205196380615234,0.1683112
19,25.74962615966797,0.19011287
20,24.073684692382812,0.18662213
21,23.25543212890625,0.17896318
22,21.76415252685547,0.20439287
23,21.063547134399414,0.18112238
