k,inertia,silhouette
2,51.990806579589844,0.7004748
3,38.87799072265625,0.40496865
4,30.81795883178711,0.34102058
5,27.051021575927734,0.26879895
6,24.247194290161133,0.15891673
7,21.860631942749023,0.15404081
8,19.288803100585938,0.17256324
9,18.606964111328125,0.14483006
10,17.079179763793945,0.16699935
11,15.59738826751709,0.15255381
12,14.206071853637695,0.16435054
13,13.226736068725586,0.13408762
14,12.739997863769531,0.13762496
15,12.047521591186523,0.112140074
16,10.857013702392578,0.14406759
17,10.478958129882812,0.12617393
18,10.050750732421875,0.11123506
19,9.559195518493652,0.11255324
20,9.175460815429688,0.107580625
21,8.620043754577637,0.12422621
22,8.112728118896484,0.11785988
23,7.882031440734863,0.102765165
