k,inertia,silhouette
2,33.25279998779297,0.8295778
3,16.988807678222656,0.59451115
4,14.264039993286133,0.4543684
5,11.728961944580078,0.3472582
6,9.887117385864258,0.34699857
7,8.567065238952637,0.2939353
8,7.626496315002441,0.3072564
9,6.533496379852295,0.31517178
10,5.669654369354248,0.30898005
11,5.140530586242676,0.25637472
12,4.573829174041748,0.23874149
13,4.247154235839844,0.24131674
14,3.58101749420166,0.2409522
15,3.1684913635253906,0.22987115
16,2.7431797981262207,0.24578473
17,2.4087491035461426,0.19714707
18,1.9946327209472656,0.20338228
19,1.6827034950256348,0.1925416
20,1.4195265769958496,0.18970093
21,1.1966922283172607,0.19316691
22,0.9829452633857727,0.16062613
23,0.8114928007125854,0.15133105
