k,inertia,silhouette
2,216.0629119873047,0.21931817
3,183.1730499267578,0.23019916
4,156.3343505859375,0.26042235
5,140.79295349121094,0.26649737
6,128.91705322265625,0.27116644
7,122.2896728515625,0.15315086
8,115.25166320800781,0.1669339
9,107.76192474365234,0.1616117
10,102.59453582763672,0.16122402
11,98.74951934814453,0.16138253
12,94.97984313964844,0.13276139
13,90.96145629882812,0.14325973
14,88.79077911376953,0.14281258
15,84.78694152832031,0.14743057
16,79.57894897460938,0.15116782
17,76.4920425415039,0.13235034
18,73.8681640625,0.13577779
19,70.73414611816406,0.13657881
20,67.72283935546875,0.15250677
21,65.06253051757812,0.13818283
22,62.360626220703125,0.14327657
23,61.667945861816406,0.1365537
