k,inertia,silhouette
2,40.981544494628906,0.1549963
3,35.866912841796875,0.14841971
4,32.47830581665039,0.15937628
5,29.59636116027832,0.1317651
6,27.84364128112793,0.10861948
7,26.00401496887207,0.12272076
8,23.820066452026367,0.12611488
9,22.737850189208984,0.1201785
10,21.33565902709961,0.113016486
11,20.212657928466797,0.11105465
12,18.45294952392578,0.14468908
13,17.62725257873535,0.12220611
14,16.20258903503418,0.13725865
15,15.203731536865234,0.123835646
16,14.353339195251465,0.1239899
17,13.391416549682617,0.12117122
18,12.614129066467285,0.12538768
19,11.446733474731445,0.13281368
20,11.25168228149414,0.10235193
21,10.544273376464844,0.11097519
22,9.578927040100098,0.11063106
23,8.732358932495117,0.1325371
